online_order,book_table,rate,votes,approx_cost_for_two_people,restaurant_type,location,has_phone
1,0,4.0,0,350.0,Delivery,Kalyan Nagar,1
0,0,4.3,700,450.0,Pubs and bars,Indiranagar,0
0,0,4.0,40,400.0,Dine-out,Koramangala 5th Block,1
1,0,3.4,8,150.0,Delivery,JP Nagar,1
0,0,4.0,157,300.0,Delivery,Koramangala 7th Block,1
1,0,3.4,6,300.0,Dine-out,Electronic City,1
0,1,4.0,776,1000.0,Dine-out,Old Airport Road,1
1,0,3.9,172,750.0,Delivery,Jayanagar,1
0,0,4.0,0,300.0,Dine-out,JP Nagar,1
1,1,4.0,347,1000.0,Dine-out,Bannerghatta Road,1
0,0,3.2,10,300.0,Delivery,Kammanahalli,1
1,0,3.3,5,400.0,Delivery,Kalyan Nagar,1
0,0,3.5,7,200.0,Delivery,Kalyan Nagar,1
0,0,3.5,18,600.0,Delivery,Old Airport Road,1
1,0,3.5,11,400.0,Delivery,HSR,1
1,0,3.6,28,100.0,Delivery,Koramangala 4th Block,1
1,0,3.4,23,300.0,Delivery,Jayanagar,1
1,0,3.6,68,300.0,Dine-out,Koramangala 7th Block,1
0,0,3.8,32,600.0,Delivery,Bannerghatta Road,1
1,1,4.0,960,500.0,Delivery,Electronic City,1
0,1,4.3,518,1400.0,Delivery,Brigade Road,1
1,0,3.7,25,400.0,Delivery,BTM,1
0,0,3.2,4,400.0,Delivery,Whitefield,1
1,0,3.7,0,500.0,Delivery,Koramangala 5th Block,1
1,0,3.3,67,600.0,Dine-out,BTM,1
1,0,3.8,58,150.0,Dine-out,Banashankari,1
0,0,3.1,10,200.0,Cafes,Church Street,1
1,0,3.8,58,300.0,Dine-out,Banashankari,1
0,1,4.2,337,1000.0,Pubs and bars,MG Road,1
1,1,3.5,59,700.0,Dine-out,Koramangala 4th Block,1
1,0,3.7,23,200.0,Dine-out,Jayanagar,1
0,0,2.7,77,500.0,Delivery,Brigade Road,1
1,0,4.0,176,400.0,Delivery,Sarjapur Road,1
0,0,3.4,10,300.0,Dine-out,Jayanagar,1
1,0,3.9,31,300.0,Delivery,New BEL Road,1
1,0,4.1,135,300.0,Desserts,Old Airport Road,1
1,0,3.7,18,200.0,Dine-out,Frazer Town,1
1,0,3.5,21,350.0,Dine-out,Koramangala 4th Block,1
1,0,3.2,12,200.0,Delivery,JP Nagar,1
1,0,3.1,28,200.0,Delivery,Old Airport Road,1
1,0,4.0,167,1700.0,Buffet,Residency Road,1
1,0,4.8,0,300.0,Delivery,Koramangala 4th Block,1
1,1,4.1,302,1000.0,Dine-out,Residency Road,1
1,0,3.9,129,600.0,Delivery,Koramangala 6th Block,1
1,0,3.5,18,300.0,Delivery,HSR,1
1,0,4.1,142,700.0,Delivery,Brookefield,1
0,0,3.2,4,150.0,Dine-out,Rajajinagar,1
0,0,3.0,88,500.0,Delivery,Sarjapur Road,1
1,0,4.2,504,550.0,Dine-out,Basavanagudi,1
1,0,4.0,297,350.0,Delivery,Kammanahalli,1
1,0,4.2,116,500.0,Desserts,Church Street,1
1,0,2.9,123,800.0,Delivery,New BEL Road,1
0,1,4.3,620,3400.0,Dine-out,MG Road,1
1,0,2.9,331,600.0,Delivery,Old Airport Road,1
1,0,3.7,0,500.0,Dine-out,Koramangala 7th Block,1
1,0,3.4,55,500.0,Delivery,Koramangala 7th Block,1
0,1,4.6,2211,1800.0,Dine-out,Lavelle Road,1
1,0,4.0,101,250.0,Delivery,Koramangala 4th Block,1
0,0,3.8,89,300.0,Dine-out,Koramangala 5th Block,1
1,0,4.0,314,800.0,Dine-out,Koramangala 6th Block,1
1,0,3.6,28,400.0,Delivery,Sarjapur Road,1
0,1,4.2,69,1200.0,Dine-out,Indiranagar,1
0,0,3.2,167,450.0,Dine-out,Brookefield,1
1,1,4.2,405,1500.0,Delivery,Kalyan Nagar,1
0,0,5.0,0,150.0,Delivery,Koramangala 5th Block,1
0,0,3.7,36,600.0,Desserts,HSR,1
0,0,3.4,8,300.0,Delivery,Bannerghatta Road,1
0,0,3.8,180,300.0,Dine-out,Rajajinagar,1
1,0,3.6,26,200.0,Delivery,Marathahalli,1
1,0,3.7,37,300.0,Dine-out,JP Nagar,1
0,0,3.8,368,600.0,Dine-out,Bellandur,1
1,0,3.1,131,400.0,Delivery,HSR,1
0,1,4.0,1755,1600.0,Cafes,Koramangala 4th Block,1
0,0,4.1,181,3000.0,Pubs and bars,Malleshwaram,1
0,0,3.5,7,900.0,Desserts,JP Nagar,1
0,0,3.6,14,1500.0,Drinks & nightlife,Residency Road,1
0,0,3.7,163,300.0,Dine-out,Lavelle Road,1
1,0,3.6,43,200.0,Delivery,Whitefield,1
0,1,4.4,2054,1200.0,Dine-out,MG Road,1
1,0,4.3,2420,800.0,Delivery,Jayanagar,1
1,0,3.0,144,200.0,Delivery,Church Street,1
1,0,3.4,26,350.0,Delivery,Bellandur,1
1,1,4.2,1142,1800.0,Delivery,Bellandur,1
1,0,2.8,20,550.0,Delivery,Brigade Road,1
1,0,3.5,25,500.0,Desserts,Old Airport Road,1
1,0,3.5,36,600.0,Delivery,Koramangala 4th Block,1
1,0,2.2,479,650.0,Delivery,Brookefield,1
0,0,3.4,10,300.0,Desserts,Koramangala 5th Block,1
0,0,3.8,22,350.0,Delivery,Church Street,1
1,0,3.5,889,650.0,Delivery,Koramangala 7th Block,1
1,0,3.1,71,400.0,Delivery,Brookefield,1
1,0,3.4,29,750.0,Dine-out,Koramangala 5th Block,1
0,1,4.3,223,1200.0,Dine-out,Koramangala 6th Block,1
0,0,3.1,7,500.0,Delivery,Bannerghatta Road,1
1,1,4.4,2496,900.0,Buffet,Jayanagar,1
1,0,3.9,172,750.0,Delivery,Banashankari,1
1,0,3.1,22,400.0,Delivery,Koramangala 7th Block,1
1,0,4.2,432,700.0,Desserts,Brigade Road,1
1,1,4.0,1241,700.0,Delivery,Koramangala 7th Block,0
0,0,3.8,23,300.0,Delivery,Bannerghatta Road,1
1,0,3.4,76,450.0,Dine-out,Bannerghatta Road,1
1,0,3.8,41,150.0,Delivery,Jayanagar,1
0,0,3.5,11,400.0,Dine-out,Kammanahalli,1
1,1,4.1,1789,1200.0,Dine-out,Koramangala 5th Block,1
0,0,4.5,232,1250.0,Desserts,Brigade Road,1
1,0,3.0,39,400.0,Dine-out,BTM,1
0,0,3.5,11,500.0,Delivery,HSR,1
0,0,4.0,0,300.0,Dine-out,Frazer Town,1
1,0,4.2,465,300.0,Delivery,Koramangala 7th Block,1
1,0,4.0,205,500.0,Delivery,Koramangala 7th Block,1
0,1,4.1,759,1200.0,Dine-out,Koramangala 4th Block,1
1,0,3.1,13,400.0,Cafes,Basavanagudi,1
0,1,4.3,695,2500.0,Dine-out,Brigade Road,1
1,0,3.3,0,400.0,Delivery,Whitefield,1
0,0,4.1,108,700.0,Cafes,Basavanagudi,0
0,0,3.2,4,500.0,Dine-out,HSR,1
1,1,3.8,81,800.0,Delivery,Church Street,1
1,0,3.6,29,150.0,Desserts,BTM,1
0,0,4.0,336,550.0,Delivery,Jayanagar,1
1,0,3.3,21,300.0,Delivery,MG Road,1
0,1,3.7,0,800.0,Delivery,Indiranagar,1
1,0,4.2,62,200.0,Delivery,Koramangala 4th Block,1
1,0,2.8,83,300.0,Delivery,Brookefield,1
0,0,3.4,6,500.0,Cafes,Indiranagar,1
0,0,3.9,1155,650.0,Dine-out,BTM,1
1,0,3.8,30,400.0,Delivery,Malleshwaram,1
1,0,3.3,8,500.0,Dine-out,Whitefield,1
0,0,3.7,15,2000.0,Pubs and bars,Brigade Road,1
1,0,3.6,18,250.0,Delivery,Banashankari,1
1,0,4.1,201,300.0,Dine-out,Banashankari,1
1,0,3.8,59,300.0,Dine-out,Church Street,1
1,0,4.0,181,550.0,Delivery,BTM,1
0,0,3.5,52,300.0,Dine-out,Basavanagudi,1
1,0,3.4,185,450.0,Delivery,JP Nagar,1
1,0,3.2,4,300.0,Delivery,Bellandur,1
0,0,3.1,61,600.0,Dine-out,Rajajinagar,1
0,0,3.5,9,200.0,Desserts,MG Road,1
1,0,3.9,214,600.0,Dine-out,Koramangala 4th Block,1
